name,niche,city,phone,address,rating,reviews,website,website_bucket,maps_url,lead_score
SNJ Automotive Repair Shop,auto repair shop,Surrey BC,(778) 565-7200,"13463 78 Ave #106, Surrey, BC V3W 2Y3, Canada",4.8,416,,none,https://maps.google.com/?cid=12300215411827274100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
All Make Auto Repair Ltd,auto repair shop,Surrey BC,(604) 597-6666,"7835 132 St, Surrey, BC V3W 4M8, Canada",4.5,319,,none,https://maps.google.com/?cid=5477488261838131270&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Eurostar Auto Repairs,auto repair shop,Surrey BC,(604) 593-5353,"7711 128 St #17, Surrey, BC V3W 4E6, Canada",4.1,309,,none,https://maps.google.com/?cid=6827617315597906767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Surrey Delta Auto Repair & Muffler Ltd,auto repair shop,Surrey BC,(778) 522-5300,"14722 64 Ave Unit 12, Surrey, BC V3S 1X7, Canada",4.5,237,,none,https://maps.google.com/?cid=9929305782666309958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
H & H AUTO CARE and TIRES,auto repair shop,Surrey BC,(778) 889-4011,"12465 82 Ave Unit#106, Surrey, BC V3W 3E8, Canada",5,339,,none,https://maps.google.com/?cid=18195299733595873125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Thandi Auto,auto repair shop,Surrey BC,(604) 503-0713,"12383 83a Ave, Surrey, BC V3W 9Y7, Canada",4.5,320,,none,https://maps.google.com/?cid=10187743644275397002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Mo's Garage Ltd,auto repair shop,Burnaby BC,(604) 687-6646,"3855 Douglas Rd #2, Burnaby, BC V5G 3P8, Canada",4.9,230,,none,https://maps.google.com/?cid=14109842707782903061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Top Shaw Auto Repair,auto repair shop,Coquitlam BC,(604) 720-3331,"1865 McLean Ave, Port Coquitlam, BC V3C 1N1, Canada",4.6,312,,none,https://maps.google.com/?cid=18230261177424804438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Car Talk Auto Repair Ltd.,auto repair shop,Coquitlam BC,(604) 552-4987,"1515 Broadway St #602, Port Coquitlam, BC V3C 6M2, Canada",4.9,250,,none,https://maps.google.com/?cid=9083878820835501511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
EZ4U Auto Care,auto repair shop,Richmond BC,(778) 836-6816,"5400 Minoru Blvd #180, Richmond, BC V6X 2A9, Canada",4.9,376,,none,https://maps.google.com/?cid=17256530939435418580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Crown Tech Automotive,auto repair shop,North Vancouver BC,(604) 980-9489,"1418 Crown St, North Vancouver, BC V7J 1G5, Canada",4.7,221,,none,https://maps.google.com/?cid=5447017163792810636&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Marci Automotive LTD,auto repair shop,North Vancouver BC,(604) 986-3500,"228 MacKay Rd, North Vancouver, BC V7P 3H4, Canada",4.9,263,,none,https://maps.google.com/?cid=13192845094311890007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Z&R Automotive LTD,auto repair shop,Surrey BC,(604) 696-7440,"6468 King George Blvd #05, Surrey, BC V3W 4Z3, Canada",4.8,190,,none,https://maps.google.com/?cid=6594189758510398736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,74
MR1 AUTOMOTIVE,auto repair shop,Burnaby BC,(604) 205-9128,"6941 Hastings St, Burnaby, BC V5B 1S9, Canada",4.8,197,,none,https://maps.google.com/?cid=6612800924583868980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,74
Pemberton Auto Services Ltd,auto repair shop,North Vancouver BC,(604) 987-0022,"1110 15th St W, North Vancouver, BC V7P 1M9, Canada",4.9,190,,none,https://maps.google.com/?cid=12067026105458237707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,74
Euro Otto Sport Inc,auto repair shop,Coquitlam BC,(604) 941-1466,"1610 Langan Ave #4, Port Coquitlam, BC V3C 1K5, Canada",4.9,196,,none,https://maps.google.com/?cid=5421281329920779673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,74
Quick Fix Auto Limited,auto repair shop,Delta BC,(604) 441-4006,"8655 Cambie St. Unit 3, Vancouver, BC V6P 3J9, Canada",4.1,197,,none,https://maps.google.com/?cid=8865885582765904873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,74
Colin's Auto Electric Ltd,electrician,Richmond BC,(604) 322-1800,"11655 Eburne Way, Richmond, BC V6V 2M1, Canada",4.9,81,,none,https://maps.google.com/?cid=14435234707782114973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,73
Multi-Tech Electric,electrician,Surrey BC,(604) 613-7474,"14786 67b Ave, Surrey, BC V3S 4P9, Canada",4.9,72,,none,https://maps.google.com/?cid=5593412531253050242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
A.M.S. Electrical Services Ltd.,electrician,Richmond BC,(604) 788-9843,"251 E 7th Ave, Vancouver, BC V5T 0B9, Canada",4.9,77,,none,https://maps.google.com/?cid=4908076348969070602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
G P Auto Repair & Collision,auto repair shop,Surrey BC,(604) 930-0444,"11934 95a Ave, Delta, BC V4C 3W2, Canada",4.8,179,,none,https://maps.google.com/?cid=7342757017955913434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
Newline Auto Repair and Tires,auto repair shop,Surrey BC,(778) 522-3045,"12086 90 Ave unit 101,102, Surrey, BC V3V 1B5, Canada",4.8,173,,none,https://maps.google.com/?cid=11954115791931841972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
Balbir Auto Repairs Ltd.,auto repair shop,Surrey BC,(604) 543-2880,"8247 124 St Unit 7, Surrey, BC V3W 3X9, Canada",4,179,,none,https://maps.google.com/?cid=12805101515667805520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
Supra Auto Repairs,auto repair shop,Surrey BC,(604) 590-2261,"12451 82 Ave, Surrey, BC V3W 3E8, Canada",4.6,170,,none,https://maps.google.com/?cid=18424345917180331340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
128 Auto Service Centre (Since 1996),auto repair shop,Coquitlam BC,(604) 937-3688,"335 North Rd A, Coquitlam, BC V3K 3V8, Canada",4.5,175,,none,https://maps.google.com/?cid=16193437755952866903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
Mike Auto,auto repair shop,Richmond BC,(604) 307-9763,"12440 Vickers Way, Richmond, BC V6V 1H9, Canada",4.7,128,https://www.instagram.com/mike_automobileltd/,social_only,https://maps.google.com/?cid=3708528351139500400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,72
Chois Auto Repair,auto repair shop,Langley BC,(604) 530-9922,"20271 56 Ave, Langley, BC V3A 3Y6, Canada",4.6,168,,none,https://maps.google.com/?cid=15487360610702638667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,71
Logan's Blue Mountain Auto,auto repair shop,Coquitlam BC,(604) 521-0305,"287 Schoolhouse St, Coquitlam, BC V3K 4Y1, Canada",4.6,111,https://www.facebook.com/profile.php?id=100067447251206,social_only,https://maps.google.com/?cid=6981020529755804913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,71
Onyx Plumbing & Heating,plumber,Surrey BC,(778) 926-7416,"7661 147 St, Surrey, BC V3S 3B1, Canada",5,50,,none,https://maps.google.com/?cid=2320864367972465859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
Limitless Mechanical,hvac contractor,Langley BC,(604) 357-7006,"20046 Grade Crescent, Langley, BC V3A 4J4, Canada",5,54,,none,https://maps.google.com/?cid=4134375264989187998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
Main Street Electric,electrician,Burnaby BC,(236) 808-3077,"6070 McMurray Ave, Burnaby, BC V5H 4L4, Canada",5,58,,none,https://maps.google.com/?cid=14669532461807304856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
N & S Canada Electric INC,electrician,Coquitlam BC,(778) 970-0571,"Atlantic Ave, Coquitlam, BC V3B 0B9, Canada",5,52,,none,https://maps.google.com/?cid=15777626860462676777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
SUPREME AUTOMOTIVE,auto repair shop,Surrey BC,(604) 319-6001,"12630 82 Ave, Surrey, BC V3W 3G1, Canada",4.9,150,,none,https://maps.google.com/?cid=9501283939372091053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
Satnam Auto / Stewart L Auto Electronic,auto repair shop,Delta BC,(604) 588-2217,"11935 95a Ave, Delta, BC V4C 3W1, Canada",4.8,151,,none,https://maps.google.com/?cid=2177441607504378407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
Auto Tec Surrey Customs Ltd,auto repair shop,Surrey BC,(604) 507-0408,"16050 Fraser Hwy, Surrey, BC V3S 2W8, Canada",4.1,151,,none,https://maps.google.com/?cid=1879688982852172403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,70
Al The Plumber Plumbing & Heating Ltd.,plumber,Langley BC,(604) 897-6706,"5100 207b St, Langley, BC V3A 7V3, Canada",5,46,,none,https://maps.google.com/?cid=14612657020198169560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
JKFED Plumbing & Heating LTD.,plumber,Langley BC,(236) 866-6398,"5176 215 St, Langley Twp, BC V3A 5B8, Canada",5,40,,none,https://maps.google.com/?cid=4553295456925165282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Crestwood Plumbing & Heating,plumber,Richmond BC,(604) 278-9558,"8120 No 2 Rd, Richmond, BC V7C 5J8, Canada",4.9,41,,none,https://maps.google.com/?cid=15111599507385892729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Dreamville Auto,auto repair shop,Burnaby BC,(604) 442-8265,"6432 Beresford St., Burnaby, BC V5E 1B3, Canada",4.9,140,,none,https://maps.google.com/?cid=103253804763861136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
TLV Auto Ltd,auto repair shop,Burnaby BC,(604) 677-2288,"7289 Curragh Ave, Burnaby, BC V5J 4W1, Canada",4.9,147,,none,https://maps.google.com/?cid=6658926177410063155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Highgate Auto Repairs,auto repair shop,Burnaby BC,(604) 825-4574,"7212 Gilley Ave, Burnaby, BC V5J 4X3, Canada",4.3,149,,none,https://maps.google.com/?cid=13329068408577760118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
JKR Automotive,auto repair shop,Coquitlam BC,(778) 285-6700,"1680 Kingsway Ave, Port Coquitlam, BC V3C 3Y9, Canada",4.9,147,,none,https://maps.google.com/?cid=5784750886726361007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Apel Auto Centre Ltd.,auto repair shop,Coquitlam BC,(604) 472-0878,"1495 Apel Dr, Port Coquitlam, BC V3B 3P4, Canada",4.7,149,,none,https://maps.google.com/?cid=1672423752524709183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
ML Autoz,auto repair shop,Coquitlam BC,(604) 461-2211,"2561 Barnet Hwy #3, Coquitlam, BC V3H 1W4, Canada",4.4,142,,none,https://maps.google.com/?cid=6120844628686883576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Granville Auto Service & Repair,auto repair shop,Richmond BC,(236) 971-3830,"2643 No 5 Rd, Richmond, BC V6X 2S8, Canada",4.5,145,https://museautosport.com/,none,https://maps.google.com/?cid=10244109883891377181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69
Maple Leaf Electrical Ltd,electrician,Surrey BC,(778) 522-4000,"14223 68 Ave, Surrey, BC V3W 2H5, Canada",4.9,35,,none,https://maps.google.com/?cid=9398941236234466946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
Sodhi Electrical and Renovations,electrician,Surrey BC,(778) 855-1151,"5931 129a St, Surrey, BC V3X 0C5, Canada",4.8,37,,none,https://maps.google.com/?cid=3042429016582767209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
Ultra Modern Electric,electrician,Surrey BC,(604) 363-1628,"9314 152 St, Surrey, BC V3R 4G2, Canada",5,32,,none,https://maps.google.com/?cid=548894175733707148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
Choice one electric,electrician,Surrey BC,(604) 499-9597,"13909 80b Ave, Surrey, BC V3W 8M2, Canada",4.8,31,,none,https://maps.google.com/?cid=11904214252818141897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
Darcy's Auto Service,auto repair shop,Surrey BC,(604) 599-1223,"12465 82 Ave, Surrey, BC V3W 3E8, Canada",4.4,134,,none,https://maps.google.com/?cid=12446162370975614690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
A D Auto Repair,auto repair shop,Burnaby BC,(604) 419-0795,"7060 Merritt Ave, Burnaby, BC V5J 4R6, Canada",4.9,84,https://www.facebook.com/ADautorepair/,social_only,https://maps.google.com/?cid=986194688833178751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
Sunbright Electrical,electrician,Richmond BC,(778) 389-0652,"6603 Fraser St, Vancouver, BC V5X 3T6, Canada",4.9,30,,none,https://maps.google.com/?cid=1407470379615756228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
EBI CAR CARE,auto repair shop,North Vancouver BC,(604) 980-5917,"1180 15th St W, North Vancouver, BC V7P 2S2, Canada",4.4,131,,none,https://maps.google.com/?cid=11348459795860170460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,68
CITYWIDE PLUMBING HEATING & DRAIN CLEANING,plumber,Maple Ridge BC,(604) 590-4999,"20071 113b Ave #6, Maple Ridge, BC V2X 0Y6, Canada",4.7,29,,none,https://maps.google.com/?cid=476041644551922994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
SteelStream Plumbers Of North Vancouver,plumber,North Vancouver BC,(778) 200-5810,"117 15th St E #182, North Vancouver, BC V7L 2P7, Canada",5,24,,none,https://maps.google.com/?cid=9738520021784275588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Seaview Plumbing & Heating,plumber,North Vancouver BC,,"Rivergrove Pl, North Vancouver, BC V7H 2L4, Canada",5,21,,none,https://maps.google.com/?cid=10639343272010221691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Grewal Air Conditioning Ltd,hvac contractor,Surrey BC,(604) 897-1746,"7878 143a St, Surrey, BC V3W 9W4, Canada",5,21,,none,https://maps.google.com/?cid=7634645759473564421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Capilano Heating and Air conditioning LTD,hvac contractor,North Vancouver BC,(778) 320-5726,"1959 Marine Dr #1060, North Vancouver, BC V7P 1V6, Canada",4.8,27,,none,https://maps.google.com/?cid=15812363819154424561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
NIRMAL ELECTRICAL LTD.,electrician,Surrey BC,(604) 368-1219,"12858 60 Ave, Surrey, BC V3X 0B9, Canada",5,23,,none,https://maps.google.com/?cid=7161489321114605761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Jaksid Electric Ltd.,electrician,Langley BC,(604) 825-3264,"21067 80A Ave, Langley Twp, BC V2Y 0J4, Canada",5,20,,none,https://maps.google.com/?cid=2942076477006032011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
EV TEC BC Pros,electrician,Burnaby BC,(778) 891-4005,"6540 Hastings St #722, Burnaby, BC V5B 4Z5, Canada",4.7,26,,none,https://maps.google.com/?cid=12119593048017935478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Carwest Automotive,auto repair shop,Langley BC,(778) 989-0856,"5778 Production Way #113, Langley, BC V3A 4N4, Canada",4.8,123,,none,https://maps.google.com/?cid=12471166131153502943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Sall Auto Service Ltd,auto repair shop,Burnaby BC,(604) 435-2077,"5120 Imperial St, Burnaby, BC V5J 1E2, Canada",4.4,125,,none,https://maps.google.com/?cid=9770387801936039912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
Euro Wrench Werks Auto Repairs,auto repair shop,Maple Ridge BC,(604) 465-1203,"20214 Lougheed Hwy, Maple Ridge, BC V2X 2P7, Canada",4.9,128,,none,https://maps.google.com/?cid=8272160032886050605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
AutoVet Pro Mechanic,auto repair shop,North Vancouver BC,(778) 861-3121,"224 Esplanade E, North Vancouver, BC V7L 1B4, Canada",4.8,122,,none,https://maps.google.com/?cid=1506871234823207932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
MDE Electrical Mechanical Contractors Ltd.,electrician,Burnaby BC,(604) 291-1995,"3947 Graveley St, Burnaby, BC V5C 3T4, Canada",4.4,20,,none,https://maps.google.com/?cid=15316071550637479550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,67
"Flawless Plumbing, Heating & Gas LTD",plumber,Burnaby BC,(604) 729-9193,"6968 Royal Oak Ave #313, Burnaby, BC V5J 4J3, Canada",5,16,,none,https://maps.google.com/?cid=9877436541309126189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
West Tide Plumbing & Heating,hvac contractor,Surrey BC,(604) 442-3021,"11041 131a St, Surrey, BC V3T 3S1, Canada",5,15,,none,https://maps.google.com/?cid=13829865010402563999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
Bright Road Electric Ltd.,electrician,Burnaby BC,(778) 952-0239,"7943 16th Ave, Burnaby, BC V3N 1R4, Canada",5,17,,none,https://maps.google.com/?cid=4539415181282251032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
Sardarji Services Ltd (Mobile Mechanic),auto repair shop,Surrey BC,(604) 767-0710,"12332 78 Ave, Surrey, BC V3W 2X4, Canada",4.9,110,,none,https://maps.google.com/?cid=2961728054636881023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
Jas Auto Repairs Ltd,auto repair shop,Surrey BC,(604) 597-4666,"7823 132 St, Surrey, BC V3W 4M8, Canada",4.2,113,,none,https://maps.google.com/?cid=17992482015082039207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
Carmigo Auto Repair Ltd. 카미고 자동차 정비/타이어,auto repair shop,Langley BC,(604) 427-2771,"6064 196 St, Langley, BC V3A 5X3, Canada",4.4,115,,none,https://maps.google.com/?cid=17122116489364356022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,66
