name,niche,city,phone,address,rating,reviews,website,website_bucket,maps_url,reachable,https,final_url,mobile_viewport,copyright_year,page_size_kb,load_ms,red_flags,lead_score
"Milani Plumbing, Heating & Air Conditioning",plumber,Surrey BC,(604) 580-2603,"10581 King George Blvd, Surrey, BC V3T 2X5, Canada",4.8,1617,https://www.milani.ca/locations/surrey-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Surrey,real,https://maps.google.com/?cid=9744865354156869830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.milani.ca/locations/surrey-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Surrey,yes,2008,132,967,stale_copyright_2008,65
John Sadler Plumbing & Heating,plumber,Surrey BC,(604) 531-4355,"3739 155 St, Surrey, BC V3Z 0H1, Canada",5,246,http://johnsadler.ca/,real,https://maps.google.com/?cid=16402964240501371298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http_403,yes,https://johnsadler.ca/,no,,0,345,not_mobile_ready,65
"Milani Plumbing, Heating & Air Conditioning",plumber,Surrey BC,(604) 888-8888,"5526 Kingsway, Burnaby, BC V5H 2G2, Canada",4.9,12523,https://www.milani.ca/locations/burnaby-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Burnaby,real,https://maps.google.com/?cid=1388755289118283626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.milani.ca/locations/burnaby-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Burnaby,yes,2008,127,77,stale_copyright_2008,65
"Willowbrook Plumbing, Heating & Hot Water Tank Installation Langley",plumber,Langley BC,(604) 514-9967,"20088 36a Ave, Langley, BC V3A 2S1, Canada",5,565,https://willowbrookplumbing.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite%5Blangley%5D,real,https://maps.google.com/?cid=9615314851937605049&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.willowbrookplumbing.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite%5Blangley%5D,yes,2026,213,600,builder_duda,65
Red Seal Plumbing,plumber,Burnaby BC,(604) 618-4988,"2790 E 21st Ave, Vancouver, BC V5M 2W2, Canada",5,720,https://www.redsealplumbing.com/service-areas/vancouver-bc/,real,https://maps.google.com/?cid=14801678545773804784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.redsealplumbing.com/service-areas/vancouver-bc/,yes,2020,75,859,stale_copyright_2020,65
Miller Plumbing & Drainage - Vancouver Plumber,plumber,Burnaby BC,(604) 837-2507,"765 Victoria Dr, Vancouver, BC V5L 4E5, Canada",5,204,https://millerplumbers.ca/plumber-vancouver-bc/?UTM_source=GMB_listing&UTM_medium=organic,real,https://maps.google.com/?cid=14869592466264166717&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://millerplumbers.ca/plumber-vancouver-bc/?UTM_source=GMB_listing&UTM_medium=organic,yes,2019,345,30,stale_copyright_2019,65
"Milani Plumbing, Heating & Air Conditioning",plumber,Burnaby BC,(604) 737-2603,"3433 E 25th Ave, Vancouver, BC V5R 1J9, Canada",4.7,1563,https://www.milani.ca/locations/vancouver-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=VancouverE25,real,https://maps.google.com/?cid=1524839215163517215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.milani.ca/locations/vancouver-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=VancouverE25,yes,2008,133,137,stale_copyright_2008,65
Sheehan Plumbing & Heating,plumber,Coquitlam BC,(604) 931-3921,"1730 Broadway St #12, Port Coquitlam, BC V3C 2M8, Canada",4.9,229,http://www.sheehanplumbing.ca/,real,https://maps.google.com/?cid=9866551193199836182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,no,http://www.sheehanplumbing.ca/,yes,,94,848,no_ssl,65
"Milani Plumbing, Heating & Air Conditioning",plumber,Richmond BC,(604) 274-2603,"22200 Wilson Ave, Richmond, BC V6V 2P6, Canada",4.8,452,https://www.milani.ca/locations/richmond-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Richmond,real,https://maps.google.com/?cid=3605161797461939563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.milani.ca/locations/richmond-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=Richmond,yes,2008,132,909,stale_copyright_2008,65
Roto-Rooter Plumbing & Drain Services,plumber,Maple Ridge BC,(604) 532-3711,"20285 Stewart Crescent, Maple Ridge, BC V2X 8G1, Canada",4.7,696,https://www.rotorooter.com/ca/british-columbia/mapleridge/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,real,https://maps.google.com/?cid=8493930562611926103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.rotorooter.com/ca/british-columbia/mapleridge/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,yes,2006,414,1644,stale_copyright_2006,65
"Milani Plumbing, Heating & Air Conditioning",plumber,North Vancouver BC,(604) 984-2603,"220 27th St E, North Vancouver, BC V7N 1B6, Canada",4.9,2942,https://www.milani.ca/locations/north-vancouver-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=North%20Vancouver,real,https://maps.google.com/?cid=16321753259866677787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.milani.ca/locations/north-vancouver-bc/?utm_source=gmb&utm_medium=organic&utm_campaign=North%20Vancouver,yes,2008,132,947,stale_copyright_2008,65
South Fraser Heating & Cooling Ltd,hvac contractor,Langley BC,(604) 536-6676,"19835 56 Ave Unit 101, Langley, BC V3A 3Y1, Canada",4.9,447,http://southfraserheating.com/,real,https://maps.google.com/?cid=9380720626956485997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://southfraserheating.com/,yes,2018,93,262,stale_copyright_2018,65
Nation Furnace Heating & Air Conditioning HVAC Ltd.,hvac contractor,Langley BC,(604) 299-5006,"4170 Still Creek Dr Ste 200, Burnaby, BC V5C 4T5, Canada",5,296,https://nationheating.ca/burnaby/,real,https://maps.google.com/?cid=9463418027746310235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://nationheating.ca/burnaby/,yes,2022,149,742,stale_copyright_2022,65
BC Care Heating Services Ltd,hvac contractor,Burnaby BC,(604) 454-3550,"3823 Henning Dr #115, Burnaby, BC V5C 6P3, Canada",4.7,202,https://bccareheating.com/,real,https://maps.google.com/?cid=146605391259453583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://bccareheating.com/,yes,2024,294,655,stale_copyright_2024,65
Total Line Heating and Air Conditioning Ltd.,hvac contractor,North Vancouver BC,(604) 765-1299,"901 3rd St W Unit 342, North Vancouver, BC V7P 3P9, Canada",5,260,https://www.totallinehvac.ca/?UTM_source=GMB_listing&UTM_medium=organic,real,https://maps.google.com/?cid=8457237270162834704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.totallinehvac.ca/?UTM_source=GMB_listing&UTM_medium=organic,yes,,1523,272,builder_wix,65
Kirkstone Heating and Cooling,hvac contractor,North Vancouver BC,(604) 969-3949,"977 W 1st St, North Vancouver, BC V7P 1A4, Canada",4.7,533,https://kirkstone.ca/?utm_campaign=gmb,real,https://maps.google.com/?cid=3564690948567244682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://kirkstone.ca/?utm_campaign=gmb,yes,2012,286,1088,stale_copyright_2012,65
JC DuctBusters LTD,hvac contractor,North Vancouver BC,(778) 320-9336,"831 3rd St W, North Vancouver, BC V7P 3K7, Canada",5,348,http://jcductbusters.ca/,real,https://maps.google.com/?cid=17051418503589382810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,no,http://jcductbusters.ca/,yes,,28,306,no_ssl,65
B Cheema Roofing Ltd.,roofing contractor,Surrey BC,(604) 722-3600,"2242 168 St, Surrey, BC V3Z 0B5, Canada",4.9,153,https://bcheemaroofing.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,real,https://maps.google.com/?cid=10747251527937506993&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.bcheemaroofing.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,yes,2025,36,379,,65
In Awe Roofing,roofing contractor,Langley BC,(604) 255-7663,"20986 77A Ave, Langley Twp, BC V2Y 0L8, Canada",4.8,109,https://inaweroofing.com/,real,https://maps.google.com/?cid=9159765462903974828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://inaweroofing.com/,yes,2016,71,83,stale_copyright_2016,65
GoodVans Roofing,roofing contractor,Richmond BC,(778) 377-8209,"207 W Hastings St Unit 1210, Vancouver, BC V6B 1H7, Canada",4.9,159,http://www.gvroofs.ca/,real,https://maps.google.com/?cid=5004381592649261876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.gvroofs.ca/,yes,2026,146,814,,65
It's On Electric Company,electrician,Surrey BC,(604) 538-2373,"15272 Croydon Dr #109, Surrey, BC V3Z 6T3, Canada",5,541,https://www.itsonelectric.com/,real,https://maps.google.com/?cid=18023855353091929147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.itsonelectric.com/,yes,,908,312,builder_wix,65
CSK Electric Inc,electrician,Langley BC,(778) 766-3936,"Mount Lehman Rd, Abbotsford, BC V2T 0A8, Canada",5,326,https://cskelectric.ca/?utm_campaign=gmb&utm_medium=organic&utm_source=google,real,https://maps.google.com/?cid=152324462873954309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://cskelectric.ca/?utm_campaign=gmb&utm_medium=organic&utm_source=google,yes,2016,258,403,stale_copyright_2016,65
Scarlet Roofing & Gutters,roofing contractor,Surrey BC,(236) 333-9767,"7238 124a St, Surrey, BC V3W 0S9, Canada",5,141,https://www.scarletconstruction.ca/,real,https://maps.google.com/?cid=17432032985477331191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://scarletconstruction.ca/,yes,2026,64,2101,,64
ProRise Gutter Company,roofing contractor,Coquitlam BC,(604) 338-4817,"853 Seaborne Ave #1120, Port Coquitlam, BC V3B 0N9, Canada",4.9,147,https://prorisegutters.com/,real,https://maps.google.com/?cid=15686803132762592045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://prorisegutters.com/,yes,,482,127,,64
AJ's Electrical Service & Repair,electrician,Surrey BC,(604) 946-8946,"7157 Honeyman St #8, Delta, BC V4G 1E2, Canada",4.8,193,https://www.ajselectrical.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,real,https://maps.google.com/?cid=5801677299500788060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.ajselectrical.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,yes,2023,274,140,stale_copyright_2023,64
Electric Avenue,electrician,Coquitlam BC,(604) 939-1832,"690 Wilmot St, Coquitlam, BC V3J 6P4, Canada",4.7,191,http://www.electric-ave.ca/,real,https://maps.google.com/?cid=12885969550761628552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.electricave.ca/,yes,2018,96,947,stale_copyright_2018,64
"Yorkson Plumbing, Heating & Cooling LTD",plumber,Langley BC,(604) 366-4727,"8258 207A St. #162, Langley Twp, BC V2Y 0N4, Canada",4.9,183,http://yorksonplumbing.ca/,real,https://maps.google.com/?cid=10136556390911287124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,dead,no,,no,,,,unreachable_UND_ERR_SOCKET,63
Vantage Roofing Ltd.,roofing contractor,Surrey BC,(778) 743-1311,"7404 King George Blvd #200, Surrey, BC V3W 1N6, Canada",4.9,137,https://vantageroofingltd.ca/services/delta-roofers/?utm_source=google&utm_medium=organic&utm_campaign=gmb,real,https://maps.google.com/?cid=14120986480015405639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://vantageroofingltd.ca/services/delta-roofers/?utm_source=google&utm_medium=organic&utm_campaign=gmb,yes,,576,353,,63
Pro Torch Roofing,roofing contractor,Burnaby BC,(778) 316-1247,"7060 Waltham Ave, Burnaby, BC V5J 4V5, Canada",4.8,84,https://protorchroofing.ca/,real,https://maps.google.com/?cid=14060913495855948035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://protorchroofing.ca/,yes,2024,56,721,stale_copyright_2024,63
Excel Roofing & Solar,roofing contractor,Maple Ridge BC,(778) 651-0909,"12835 Lilley Dr #607, Maple Ridge, BC V2W 0G1, Canada",4.9,83,https://www.excelroofing.ca/,real,https://maps.google.com/?cid=5041928620585520859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.excelroofing.ca/,yes,2025,377,14275,slow_load,63
Main Street Plumbing,plumber,Richmond BC,(604) 968-5123,"966 W 14th Ave #103, Vancouver, BC V5Z 1R4, Canada",5,183,http://www.mainstreetplumbing.ca/,real,https://maps.google.com/?cid=1586153972389881754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://mainstreetplumbing.ca/,yes,2017,168,285,stale_copyright_2017,63
Efficient Heating Service,hvac contractor,Burnaby BC,(778) 798-4343,"7155 Macpherson Ave #25, Burnaby, BC V5J 5G9, Canada",4.8,171,http://efficientheatingservice.com/,real,https://maps.google.com/?cid=594968668505165058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://efficientheatingservice.com/,yes,2018,108,825,stale_copyright_2018,62
Paragon Roofing BC,roofing contractor,Surrey BC,(604) 358-3436,"12233 92 Ave, Surrey, BC V3V 1G3, Canada",4.9,123,https://www.paragonroofingbc.ca/surrey?utm_source=GMBmain&utm_medium=organic,real,https://maps.google.com/?cid=14433328612275113059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.paragonroofingbc.ca/surrey?utm_source=GMBmain&utm_medium=organic,yes,,672,1152,,62
Marks Roofing LTD,roofing contractor,Surrey BC,(604) 245-8847,"11079 Swan Crescent, Surrey, BC V3R 5B7, Canada",4.8,125,https://marksroofingltd.com/?utm_source=gmb&utm_medium=organic,real,https://maps.google.com/?cid=17283266709356740203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://marksroofingltd.com/?utm_source=gmb&utm_medium=organic,yes,2026,249,114,,62
Interlock Metal Roofing (BC) Ltd.,roofing contractor,Richmond BC,(604) 210-3850,"9969 River Way, Delta, BC V4G 1M8, Canada",4.4,126,https://www.roofbc.com/,real,https://maps.google.com/?cid=3702026929419730637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.roofbc.com/,yes,,439,452,,62
Anytime Roofing Ltd.,roofing contractor,Surrey BC,(778) 710-7104,"6478 130 St, Surrey, BC V3W 4J1, Canada",5,63,https://anytimeroofing.ca/,real,https://maps.google.com/?cid=4252791671691210934&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://anytimeroofing.ca/,yes,2024,238,376,stale_copyright_2024,61
Penfolds Roofing,roofing contractor,Burnaby BC,(604) 254-4663,"1268 Vernon Dr, Vancouver, BC V6A 4C9, Canada",4.4,119,https://www.penfoldsroofing.com/?utm_source=local&utm_medium=organic&utm_content=website&utm_campaign=gmb,real,https://maps.google.com/?cid=6916550617973038680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.penfoldsroofing.com/?utm_source=local&utm_medium=organic&utm_content=website&utm_campaign=gmb,yes,2026,68,640,,61
